description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Cheese, cottage, low fat",1.91,36.28,4.87,1.02
"Cheese, cottage, lowfat, with fruit",4.42,35.84,3.24,0.68
"Cheese, cottage, lowfat, low sodium",1.19,31.86,5.49,0.44
"Cheese, cottage, lowfat, lactose reduced",1.9,36.12,4.85,1.01
"Cream cheese, regular, plain",2.3,145.83,2.56,14.35
"Cream cheese, regular, flavored",6.83,90.83,2.96,5.78
"Cream cheese, light",3.39,83.75,3.27,6.37
"Cheese, American and Swiss blends",58.56,4088.89,200.0,340.0
"Cheese, American",75.78,3888.89,191.11,313.89
"Cheese, American, reduced fat",117.78,2666.67,195.56,156.67
"Cheese, American, nonfat or fat free",117.0,1400.0,233.89,0.0
"Cheese, American, reduced sodium",17.78,4177.78,246.67,346.56
"Cheese spread, American or Cheddar cheese base, reduced fat",119.0,1955.56,149.0,98.67
"Cream cheese spread, fat free",3.19,43.75,6.54,0.42
"Cheese, processed cheese food",42.14,1461.9,76.62,109.81
"Cheese, processed, with vegetables",43.44,3988.89,158.89,357.0
"Cheese,  with wine",31.22,1082.89,56.75,81.34
"Cheese spread, American or Cheddar cheese base",97.0,3222.22,182.33,235.89
"Cheese spread, Swiss cheese base",30.79,1022.93,57.88,74.89
"Cheese spread, cream cheese, regular",1.46,122.92,2.96,11.92
"Cheese spread, cream cheese, light",3.39,83.75,3.27,6.37
"Cheese spread, pressurized can",3.88,128.89,7.29,9.44
Imitation cheese,4.76,1857.14,119.05,152.38
"Cheese, cottage cheese, with gelatin dessert",3.49,33.33,2.73,0.97
"Cheese, cottage cheese, with gelatin dessert and fruit",3.92,30.0,2.13,0.74
"Cheese, cottage cheese, with gelatin dessert and vegetables",2.61,34.17,3.21,1.19
Cheese ball,37.13,2846.67,120.53,253.8
Artichoke dip,36.47,2206.67,24.33,220.8
Spinach and artichoke dip,31.73,2200.0,26.67,221.4
Seafood dip,25.93,2253.33,39.8,221.67
Cheese dip with chili pepper,74.27,953.33,20.93,63.4
Cheese dip,51.73,1080.0,22.0,87.13
Topping from cheese pizza,19.05,575.0,42.15,36.67
Topping from vegetable pizza,24.86,504.08,31.82,31.86
Topping from meat pizza,13.78,782.93,46.8,59.8
Topping from meat and vegetable pizza,15.02,586.27,34.41,43.2
Cheese fondue,15.0,2123.08,148.62,163.08
Cheese souffle,6.72,217.89,9.93,16.85
Welsh rarebit,42.13,1100.0,50.0,81.73
"Cheese sandwich, NFS",31.94,277.45,11.93,11.38
"Cheese sandwich, American cheese, on white bread",31.94,277.45,11.93,11.38
"Cheese sandwich, American cheese, on wheat bread",29.76,275.49,13.07,11.6
"Cheese sandwich, cheddar cheese, on white bread",29.36,318.63,14.84,15.79
"Cheese sandwich, cheddar cheese, on wheat bread",27.18,316.67,15.98,16.02
"Cheese sandwich, reduced fat cheese, on white bread",32.66,250.98,12.54,7.76
"Cheese sandwich, reduced fat cheese, on wheat bread",30.47,249.02,13.68,7.98
"Grilled cheese sandwich, NFS",24.74,285.34,9.28,16.64
"Grilled cheese sandwich, American cheese, on white bread",24.74,285.34,9.28,16.64
"Grilled cheese sandwich, American cheese, on wheat bread",23.05,283.62,10.16,16.81
"Grilled cheese sandwich, cheddar cheese, on white bread",22.74,317.24,11.53,20.05
"Grilled cheese sandwich, cheddar cheese, on wheat bread",21.05,315.52,12.41,20.22
"Grilled cheese sandwich, reduced fat cheese, on white bread",25.28,264.66,9.76,13.84
"Grilled cheese sandwich, reduced fat cheese, on wheat bread",23.6,262.93,10.64,14.01
Cheese sauce,48.5,1012.5,20.62,81.69
Alfredo sauce,0.57,57.69,0.91,5.83
Alfredo sauce with added vegetables,0.92,46.54,0.87,4.49
Alfredo sauce with meat,0.46,65.38,2.58,5.95
Alfredo sauce with meat and added vegetables,0.75,56.54,2.55,4.86
Alfredo sauce with poultry,0.46,59.62,2.72,5.28
Alfredo sauce with poultry and added vegetables,0.75,50.77,2.69,4.19
Alfredo sauce with seafood,0.68,55.38,2.35,4.84
Alfredo sauce with seafood and added vegetables,0.96,46.54,2.32,3.75
"Mozzarella sticks, breaded, baked, or fried",359.14,4642.86,210.71,261.86
"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",2.41,86.88,4.48,6.79
"Cheddar cheese soup, home recipe, canned or ready-to-serve",3.23,26.69,0.82,1.21
"Meat, NFS",0.0,716.67,90.43,37.63
"Meat, ground, NFS",0.0,308.24,30.14,20.05
"Baby Toddler meat, NFS",8.33,746.67,83.87,39.93
"Beef, NFS",0.0,770.0,90.43,43.47
"Steak, NS as to type of meat, NS as to fat eaten",0.0,766.67,89.83,43.3
"Beef, steak, NFS",0.0,763.33,90.0,42.93
"Beef, steak, chuck",0.7,750.0,86.57,44.77
"Beef, steak, cube",0.0,623.33,96.1,23.67
"Beef, steak, flank",0.0,810.0,97.1,46.97
"Beef, steak, ribeye, NS as to fat eaten",0.0,866.67,83.3,59.1
"Beef, steak, ribeye, lean and fat eaten",0.0,963.33,78.33,72.13
"Beef, steak, ribeye, lean only eaten",0.0,766.67,88.23,46.1
"Beef, steak, round",0.0,553.33,99.07,14.17
"Beef, steak, sirloin, NS as to fat eaten",0.0,796.67,90.47,46.6
"Beef, steak, sirloin, lean and fat eaten",0.0,873.33,87.43,55.5
"Beef, steak, sirloin, lean only eaten",0.0,720.0,93.5,37.73
"Beef, steak, strip, NS as to fat eaten",0.0,796.67,90.47,46.6
"Beef, steak, strip, lean and fat eaten",0.0,873.33,87.43,55.5
"Beef, steak, strip, lean only eaten",0.0,720.0,93.5,37.73
"Beef, steak, T-bone, NS as to fat eaten",0.0,840.0,87.2,51.87
"Beef, steak, T-bone,  lean and fat eaten",0.0,913.33,84.0,61.4
"Beef, steak, T-bone, lean only eaten",0.0,766.67,90.4,42.3
"Beef, steak, tenderloin",0.0,653.33,101.53,27.5
"Beef, steak, country fried",26.47,1020.0,66.33,70.17
"Beef, oxtails",0.0,107.08,10.79,6.86
"Beef, neck bones",0.0,571.11,57.56,36.58
"Beef, shortribs",17.33,361.43,26.0,20.14
"Beef, cow head",0.0,3212.5,323.75,205.75
"Beef, roast",0.0,343.33,48.47,16.2
"Beef, pot roast",0.0,418.33,47.32,25.58
"Beef, stew meat",0.0,1255.0,141.95,76.75
"Beef, corned",1.57,836.67,60.57,63.27
"Beef, brisket",0.0,385.0,49.02,20.07
"Beef, sandwich steak",0.0,1086.67,60.87,91.97
"Beef, ground, raw",0.0,94.67,8.2,6.61
"Beef, ground",0.0,1305.0,127.75,84.1
"Beef, ground, patty",0.0,906.67,84.83,60.6
"Beef, bacon, cooked",4.94,1583.77,110.41,121.34
"Beef, bacon, reduced sodium, cooked",5.04,1908.29,130.65,147.37
"Beef, dried, chipped, uncooked",9.74,539.68,109.7,6.84
"Beef, dried, chipped, cooked in fat",8.82,793.65,99.19,39.93
Beef jerky,12.22,455.56,36.89,28.44
Baby Toddler beef,16.2,540.0,80.2,16.8
"Pork, NFS",0.0,640.0,90.47,28.9
"Pork, ground",0.0,351.76,31.67,24.96
"Pork, carnitas",0.0,1355.0,122.85,91.65
Pork jerky,55.0,2050.0,166.0,128.0
"Pork, chop, NS as to fat eaten",0.0,203.33,30.56,8.39
"Pork, chop, lean and fat eaten",0.01,216.67,29.97,10.19
"Pork, chop, lean only eaten",0.0,190.0,31.14,6.6
"Pork, chop, coated, NS as to fat eaten",8.0,243.33,28.38,10.2
"Pork, chop, coated, lean and fat eaten",7.96,254.44,27.84,11.76
"Pork, chop, coated, lean only eaten",7.96,231.11,28.88,8.6
"Pork, chop, stuffed",4.34,105.56,10.21,5.02
"Pork, steak, NS as to fat eaten",0.0,823.33,86.43,50.27
"Pork, steak, lean and fat eaten",0.03,880.0,83.83,57.87
"Pork, steak, lean only eaten",0.0,766.67,89.03,42.67
"Pork, steak, coated",24.0,916.67,80.53,52.67
"Pork, tenderloin",0.3,446.67,82.17,11.27
Ham,2.63,195.0,31.73,6.45
"Ham, prosciutto",3.26,2119.57,302.17,90.43
"Ham, canned",0.82,278.33,34.9,14.05
"Ham, ground",0.58,196.47,24.64,9.92
"Pork, roast",0.0,301.67,44.38,12.48
"Fried pork chunks, Puerto Rican style",1.97,676.32,93.0,29.84
"Pork, roll",14.97,1096.67,43.57,94.63
"Canadian bacon, cooked",7.83,634.78,123.09,12.09
"Bacon, NS as to type of meat, cooked",38.0,9680.0,748.2,716.0
"Bacon, NS as to type of meat, reduced sodium, cooked",96.0,5060.0,266.6,400.0
"Pork bacon, NS as to fresh, smoked or cured, cooked",38.0,9680.0,748.2,716.0
"Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked",28.6,10820.0,740.8,835.6
"Pork bacon, smoked or cured, cooked",34.0,9360.0,678.4,701.8
"Bacon or side pork, fresh, cooked",21.25,5850.0,424.0,438.63
"Pork bacon, smoked or cured, reduced sodium, cooked",28.6,10820.0,740.8,835.6
"Fat back, cooked",0.0,2884.62,10.31,315.12
"Ribs, NFS",34.66,725.71,47.2,42.77
"Pork, ribs",34.66,725.71,46.34,43.2
"Pork, cracklings",0.0,632.22,50.03,46.38
"Pork, ears",0.0,277.65,30.76,16.21
"Pork, bones",0.0,524.44,58.11,30.62
"Pork, pig's feet",0.0,277.65,25.61,18.73
"Pork, pig's feet, pickled",0.01,164.71,13.68,11.79
"Pork, ham hocks",1.28,315.29,17.22,26.81
"Pork, belly",0.0,1346.67,88.6,107.47
Pork skin rinds,0.0,54400.0,6130.0,3130.0
Baby Toddler ham,24.67,646.67,75.33,25.33
Baby Toddler meat stick,14.0,1880.0,137.0,142.0
"Lamb, NS as to cut",0.0,973.33,81.07,69.23
"Lamb, chop",0.0,293.33,30.4,18.08
"Lamb, ground",0.0,330.59,28.88,22.93
Goat,0.0,835.29,158.12,17.71
"Veal, chop",0.08,175.56,32.79,4.89
"Veal, ground",1.76,250.59,30.14,13.75
Mock chicken legs,9.46,284.71,25.34,15.99
Rabbit,0.0,151.11,22.33,6.18
"Venison, NFS",0.0,123.7,20.81,3.9
"Venison, steak",0.0,175.29,35.25,2.78
Venison/deer jerky,105.14,2842.86,230.0,160.07
Venison sausage,12.26,854.29,31.17,74.66
Moose,0.0,98.52,21.51,0.71
Bear,0.0,190.37,23.82,9.84
Caribou,0.0,122.96,21.87,3.24
Bison,0.0,209.41,29.71,10.06
Groundhog,0.0,172.59,19.16,10.04
Opossum,0.0,162.22,22.19,7.5
Squirrel,0.0,127.41,22.61,3.44
Beaver,0.0,155.56,25.61,5.11
Raccoon,0.0,187.41,21.46,10.65
Armadillo,0.0,117.78,20.8,3.21
Wild pig,0.0,117.78,20.8,3.21
Ostrich,0.0,128.89,19.21,5.19
"Chicken, NS as to part and cooking method, NS as to skin eaten",0.0,121.48,19.84,4.71
"Chicken, NS as to part and cooking method, skin eaten",0.07,145.19,18.57,7.89
"Chicken, NS as to part and cooking method, skin not eaten",0.0,121.48,19.84,4.71
"Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten",0.0,122.22,20.24,3.94
"Chicken, NS as to part, baked, broiled, or roasted, skin eaten",0.0,150.37,18.3,8.0
"Chicken, NS as to part, baked, broiled, or roasted, skin not eaten",0.0,122.22,20.24,3.94
"Chicken, NS as to part, rotisserie, NS as to skin eaten",0.0,121.48,19.84,4.71
"Chicken, NS as to part, rotisserie, skin eaten",0.07,145.19,18.57,7.89
"Chicken, NS as to part, rotisserie, skin not eaten",0.0,121.48,19.84,4.71
"Chicken, NS as to part, stewed, NS as to skin eaten",0.0,115.56,19.28,3.99
"Chicken, NS as to part, stewed, skin eaten",0.0,145.19,17.47,8.04
"Chicken, NS as to part, stewed, skin not eaten",0.0,115.56,19.28,3.99
"Chicken, NS as to part, grilled without sauce, NS as to skin eaten",0.0,132.59,19.81,5.33
"Chicken, NS as to part, grilled without sauce, skin eaten",0.0,160.74,17.92,9.31
"Chicken, NS as to part, grilled without sauce, skin not eaten",0.0,132.59,19.81,5.33
"Chicken, NS as to part, grilled with sauce, NS as to skin eaten",4.43,109.09,13.32,3.85
"Chicken, NS as to part, grilled with sauce, skin eaten",4.43,127.88,12.05,6.51
"Chicken, NS as to part, grilled with sauce, skin not eaten",4.43,109.09,13.32,3.85
"Chicken, NS as to part, sauteed, skin eaten",0.0,160.74,17.92,9.31
"Chicken, NS as to part, sauteed, skin not eaten",0.0,132.59,19.81,5.33
"Chicken, NS as to part, fried, coated, skin / coating eaten",5.29,185.93,16.11,11.13
"Chicken, NS as to part, fried, coated, skin / coating not eaten",0.05,121.48,19.39,4.87
"Chicken, NS as to part, baked, coated, skin / coating eaten",5.29,185.93,16.11,11.13
"Chicken, NS as to part, baked, coated, skin / coating not eaten",0.05,121.48,19.39,4.87
"Chicken breast, NS as to cooking method, skin eaten",0.07,129.63,19.53,5.68
"Chicken breast, NS as to cooking method, skin not eaten",0.0,106.67,20.77,2.64
"Chicken breast, baked, broiled, or roasted, skin eaten, from raw",0.0,142.22,19.44,6.52
"Chicken breast, baked, broiled, or roasted, skin not eaten, from raw",0.0,119.26,22.39,2.61
"Chicken breast, baked or broiled, skin eaten, from pre-cooked",0.07,129.63,19.53,5.68
"Chicken breast, baked or broiled, skin not eaten, from pre-cooked",0.0,106.67,20.77,2.64
"Chicken breast, baked or broiled, skin eaten, from fast food / restaurant",0.0,152.59,19.01,7.85
"Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant",0.0,130.37,21.9,4.03
"Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw",0.23,151.11,18.76,7.74
"Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw",0.23,129.63,21.58,3.99
"Chicken breast, rotisserie, skin eaten",0.07,129.63,19.53,5.68
"Chicken breast, rotisserie, skin not eaten",0.0,106.67,20.77,2.64
"Chicken breast, stewed, skin eaten",0.0,134.07,18.3,6.13
"Chicken breast, stewed, skin not eaten",0.0,110.37,20.71,2.41
"Chicken breast, grilled without sauce, skin eaten",0.0,152.59,19.05,7.87
"Chicken breast, grilled without sauce, skin not eaten",0.0,130.37,21.94,4.04
"Chicken breast, grilled with sauce, skin eaten",4.45,122.42,12.82,5.55
"Chicken breast, grilled with sauce, skin not eaten",4.45,107.88,14.75,2.99
"Chicken breast, sauteed, skin eaten",0.0,152.59,19.05,7.87
"Chicken breast, sauteed, skin not eaten",0.0,130.37,21.94,4.04
"Chicken breast, fried, coated, skin / coating eaten, from raw",4.45,180.0,15.9,10.45
"Chicken breast, fried, coated, skin / coating not eaten, from raw",0.0,130.37,21.94,4.04
"Chicken breast, fried, coated, prepared skinless, coating eaten, from raw",4.45,162.22,18.19,7.4
"Chicken breast, fried, coated, skin / coating eaten, from pre-cooked",5.34,185.19,15.24,10.96
"Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked",0.0,130.37,21.94,4.04
"Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant",7.94,202.22,14.31,12.56
"Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant",4.45,157.78,16.87,7.99
"Chicken breast, baked, coated, skin / coating eaten",2.97,153.33,17.59,7.33
"Chicken breast, baked, coated, skin / coating not eaten",0.0,130.37,21.94,4.04
"Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten",0.09,161.48,17.61,10.1
"Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten",0.0,137.04,18.92,6.78
"Chicken leg, drumstick and thigh, baked or broiled, skin eaten",0.0,158.52,17.16,9.49
"Chicken leg, drumstick and thigh, baked or broiled, skin not eaten",0.0,124.44,18.08,5.28
"Chicken leg, drumstick and thigh, rotisserie, skin eaten",0.09,161.48,17.61,10.1
"Chicken leg, drumstick and thigh, rotisserie, skin not eaten",0.0,137.04,18.92,6.78
"Chicken leg, drumstick and thigh, stewed, skin eaten",0.0,156.3,16.63,9.96
"Chicken leg, drumstick and thigh, stewed, skin not eaten",0.0,121.48,17.85,5.56
"Chicken leg, drumstick and thigh, grilled without sauce, skin eaten",0.0,168.89,16.78,10.76
"Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten",0.0,135.56,17.68,6.64
"Chicken leg, drumstick and thigh, grilled with sauce, skin eaten",4.41,133.33,11.3,7.47
"Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten",4.41,110.91,11.9,4.72
"Chicken leg, drumstick and thigh, sauteed, skin eaten",0.0,168.89,16.78,10.76
"Chicken leg, drumstick and thigh, sauteed, skin not eaten",0.0,135.56,17.68,6.64
"Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten",4.43,192.59,14.1,12.74
"Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten",0.0,135.56,17.72,6.65
"Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten",2.95,167.41,15.55,9.93
"Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten",0.0,135.56,17.68,6.64
"Chicken drumstick, NS as to cooking method, skin eaten",0.09,152.59,19.0,8.49
"Chicken drumstick, NS as to cooking method, skin not eaten",0.0,127.41,20.53,5.01
"Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw",0.0,140.74,17.19,7.47
"Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw",0.0,114.07,17.85,4.2
"Chicken drumstick, baked or broiled, skin eaten, from pre-cooked",0.09,152.59,19.0,8.49
"Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked",0.0,127.41,20.53,5.01
"Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant",0.0,150.37,16.79,8.76
"Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant",0.0,124.44,17.42,5.56
"Chicken drumstick, rotisserie, skin eaten",0.09,152.59,19.0,8.49
"Chicken drumstick, rotisserie, skin not eaten",0.0,127.41,20.53,5.01
"Chicken drumstick, grilled without sauce, skin eaten",0.0,151.11,16.81,8.78
"Chicken drumstick, grilled without sauce, skin not eaten",0.0,125.19,17.46,5.58
"Chicken drumstick, grilled with sauce, skin eaten",4.41,121.21,11.32,6.15
"Chicken drumstick, grilled with sauce, skin not eaten",4.41,104.24,11.75,4.01
"Chicken drumstick, stewed, skin eaten",0.0,137.78,16.7,7.88
"Chicken drumstick, stewed, skin not eaten",0.0,109.63,17.56,4.37
"Chicken drumstick, sauteed, skin eaten",0.0,151.11,16.81,8.78
"Chicken drumstick, sauteed, skin not eaten",0.0,125.19,17.46,5.58
"Chicken drumstick, fried, coated, skin / coating eaten, from raw",4.43,178.52,14.13,11.16
"Chicken drumstick, fried, coated, skin / coating not eaten, from raw",0.0,125.19,17.49,5.59
"Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw",4.41,157.04,14.61,8.59
"Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked",5.3,182.96,13.56,11.6
"Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked",0.0,125.19,17.46,5.58
"Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant",8.99,213.33,13.16,13.9
"Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant",4.53,157.78,16.16,8.3
"Chicken drumstick, baked, coated, skin / coating eaten",2.95,151.85,15.59,8.16
"Chicken drumstick, baked, coated, skin / coating not eaten",0.0,125.19,17.46,5.58
"Chicken thigh, NS as to cooking method, skin eaten",0.09,167.41,16.67,11.17
"Chicken thigh, NS as to cooking method, skin not eaten",0.0,142.96,17.84,7.96
"Chicken thigh, baked, broiled, or roasted, skin eaten, from raw",0.0,171.11,17.13,10.83
"Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw",0.0,131.85,18.23,6.0
"Chicken thigh, baked or broiled, skin eaten, from pre-cooked",0.09,167.41,16.67,11.17
"Chicken thigh, baked or broiled, skin not eaten, from pre-cooked",0.0,142.96,17.84,7.96
"Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant",0.0,180.0,16.72,12.04
"Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant",0.0,142.22,17.79,7.33
"Chicken thigh, rotisserie, skin eaten",0.09,167.41,16.67,11.17
"Chicken thigh, rotisserie, skin not eaten",0.0,142.96,17.84,7.96
"Chicken thigh, stewed, skin eaten",0.0,168.15,16.59,11.34
"Chicken thigh, stewed, skin not eaten",0.0,129.63,18.04,6.34
"Chicken thigh, grilled without sauce, skin eaten",0.0,180.0,16.75,12.07
"Chicken thigh, grilled without sauce, skin not eaten",0.0,142.22,17.83,7.34
"Chicken thigh, grilled with sauce, skin eaten",4.41,141.21,11.28,8.35
"Chicken thigh, grilled with sauce, skin not eaten",4.41,115.76,12.0,5.19
"Chicken thigh, sauteed, skin eaten",0.0,180.0,16.75,12.07
"Chicken thigh, sauteed, skin not eaten",0.0,142.22,17.83,7.34
"Chicken thigh, fried, coated, skin / coating eaten, from raw",4.43,202.22,14.08,13.79
"Chicken thigh, fried, coated, skin / coating not eaten, from raw",0.0,142.22,17.87,7.36
"Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw",4.41,171.11,14.92,9.99
"Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked",5.3,205.19,13.5,14.08
"Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked",0.0,142.22,17.83,7.34
"Chicken thigh, fried, coated, skin / coating eaten, from fast food",9.63,217.78,12.04,14.57
"Chicken thigh, fried, coated, skin / coating not eaten, from fast food",4.67,161.48,14.39,9.48
"Chicken thigh, fried, coated, skin / coating eaten, from restaurant",9.63,217.78,12.04,14.57
"Chicken thigh, fried, coated, skin / coating not eaten, from restaurant",4.67,161.48,14.39,9.48
"Chicken thigh, baked, coated, skin / coating eaten",2.95,177.78,15.53,11.1
"Chicken thigh, baked, coated, skin / coating not eaten",0.0,142.22,17.83,7.34
"Chicken wing, NS as to cooking method",1.71,734.29,66.91,51.54
"Chicken wing, baked, broiled, or roasted, from raw",0.0,720.0,67.43,47.83
"Chicken wing, baked or broiled, from pre-cooked",1.71,734.29,66.91,51.54
"Chicken wing, baked or broiled, from fast food / restaurant",0.0,754.29,65.94,52.43
"Chicken wing, rotisserie",1.71,734.29,66.91,51.54
"Chicken wing, stewed",0.0,548.89,50.22,37.09
"Chicken wing, grilled without sauce",0.0,757.14,66.09,52.54
"Chicken wing, grilled with sauce",13.24,454.55,34.6,28.16
"Chicken wing, sauteed",0.0,757.14,66.09,52.54
"Chicken wing, fried, coated, from raw",10.84,525.45,35.25,36.8
"Chicken wing, fried, coated, from pre-cooked",13.0,534.55,33.85,37.44
