description,"Carbohydrate, by difference",Energy (kcal),Protein,Total lipid (fat)
"Ice cream sundae, NFS",17.73,135.0,2.07,6.21
"Ice cream sundae, fruit topping",18.15,122.78,1.52,5.12
Banana split,6.65,40.61,0.5,1.41
"Ice cream sundae, hot fudge topping",17.73,135.0,2.07,6.21
"Ice cream sundae, caramel topping",17.01,118.33,1.65,5.11
"Ice cream, fried",24.27,208.89,2.92,11.23
"Light ice cream, NFS",18.84,128.89,3.24,4.55
"Light ice cream, vanilla",18.84,128.89,3.24,4.55
"Light ice cream, chocolate",19.44,133.33,3.16,4.79
"Soft serve, blended with candy or cookies, from fast food",12.18,81.86,1.86,2.82
"Light ice cream sandwich, vanilla",49.68,318.67,6.57,10.87
"Light ice cream sandwich, chocolate",50.48,324.0,6.47,11.2
"Light ice cream bar, vanilla",25.01,314.67,4.31,22.2
"Light ice cream bar, vanilla, chocolate coated",25.53,314.67,4.52,22.16
"Light ice cream bar, chocolate",26.32,320.0,4.41,22.48
Creamsicle,50.38,253.85,2.37,4.74
Fudgesicle,46.14,250.77,3.94,5.65
"Light ice cream cone, vanilla, prepackaged",36.03,234.74,5.69,7.68
"Light ice cream cone, chocolate, prepackaged",36.71,238.95,5.6,7.96
"Sherbet, all flavors",17.37,82.29,0.63,1.14
"Fudgesicle, light",51.36,275.56,8.16,4.16
"Pudding, chocolate, NFS",8.85,54.62,0.8,1.77
"Pudding, bread",11.76,78.0,2.8,2.43
"Pudding, flavors other than chocolate, NFS",8.69,50.0,0.56,1.45
Custard,4.22,37.31,1.95,1.4
Flan,10.86,68.46,2.01,1.9
Creme brulee,6.87,43.46,1.56,1.09
"Pudding, rice",7.07,41.54,1.24,0.83
"Firni, Indian pudding",9.67,55.38,1.38,1.19
"Pudding, tapioca, made from dry mix",8.34,50.0,0.75,1.49
"Pudding, flavors other than chocolate, made from dry mix",7.45,40.77,1.07,0.73
"Pudding, chocolate, made from dry mix",7.82,43.46,1.21,0.81
"Pudding, flavors other than chocolate, made from dry mix, sugar free",3.67,26.92,1.22,0.8
"Pudding, chocolate, made from dry mix, sugar free",4.03,29.23,1.34,0.83
"Pudding, flavors other than chocolate, ready-to-eat",8.69,50.0,0.56,1.45
"Pudding, flavors other than chocolate, ready-to-eat, sugar free",3.67,26.92,1.22,0.8
"Pudding, chocolate, ready-to-eat",8.85,54.62,0.8,1.77
"Pudding, chocolate, ready-to-eat, sugar free",4.03,29.23,1.34,0.83
"Pudding, tapioca, ready-to-eat",8.34,50.0,0.75,1.49
Banana pudding,14.74,84.21,1.35,2.24
Mousse,9.42,124.12,2.58,8.96
Dulce de leche,18.45,105.0,2.28,2.45
"Barfi or Burfi, Indian dessert",89.91,628.89,12.02,25.2
Trifle,16.03,116.55,2.43,4.93
Tiramisu,16.86,202.86,3.42,13.91
White sauce or gravy,3.84,60.0,1.6,4.25
"Cheese, NFS",55.56,4088.89,226.89,329.11
"Cheese, Blue or Roquefort",26.0,3922.22,237.78,319.33
"Cheese, Brick",31.0,4122.22,258.22,329.78
"Cheese, Camembert",1.21,789.47,52.11,63.84
"Cheese, Brie",0.35,260.94,16.21,21.62
"Cheese, Cheddar",27.11,4544.44,258.89,377.78
"Cheese, Cheddar, reduced fat",29.67,3511.11,303.89,226.78
"Cheese, Cheddar, nonfat or fat free",79.33,1744.44,357.11,0.0
"Cheese, Colby",28.56,4377.78,264.0,356.78
"Cheese, Colby Jack",18.0,4266.67,268.0,346.67
"Cheese, Feta",10.21,697.37,37.39,56.55
"Cheese, Fontina",17.22,4322.22,284.44,346.0
"Cheese, goat",0.09,260.0,15.41,21.31
"Cheese, Gouda or Edam",24.67,3955.56,277.11,304.89
"Cheese, Gruyere",4.0,4588.89,331.22,359.33
"Cheese, Limburger",0.22,144.05,8.83,12.0
"Cheese, Monterey",7.56,4144.44,272.0,336.44
"Cheese, Monterey, reduced fat",7.78,3477.78,313.33,240.0
"Cheese, Mozzarella, NFS",49.33,3288.89,263.33,226.67
"Cheese, Mozzarella, part skim",49.33,3288.89,263.33,226.67
"Cheese, Mozzarella, reduced sodium",34.44,3111.11,305.56,190.0
"Cheese, Mozzarella, nonfat or fat free",38.89,1566.67,352.22,0.0
"Cheese, Muenster",12.44,4088.89,260.11,333.78
"Cheese, Muenster, reduced fat",38.89,3011.11,274.44,195.56
"Cheese, Parmesan, dry grated",12.4,420.0,29.6,28.0
"Cheese, Parmesan, dry grated, reduced fat",24.72,372.64,32.83,15.57
"Cheese, Parmesan, hard",120.39,4077.67,287.38,271.84
